"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6702133,"Ysgol Gynradd Felindre",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Myddfai","Felindre","Abertawe",NA,"SA5 7ND","01792 771182",22,-3.9713082,51.7094005
6702157,"Llangyfelach Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pengors Road","Llangyfelach","Swansea",NA,"SA5 7JE","01792 771497",221,-3.956098,51.6726332
6702159,"Llanrhidian Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llanrhidian","Gower","Swansea",NA,"SA3 1EH","01792 390181",160,-4.1709695,51.6084987
6702167,"Penclawdd Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Park Road","Penclawdd","Swansea",NA,"SA4 3FH","01792 850239",163,-4.1105253,51.6411192
6702172,"Pengelli Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Station Road","Grovesend","Swansea",NA,"SA4 4GY","01792 892736",97,-4.035166,51.6897387
6702174,"Penllergaer Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pontardulais Road","Penllergaer","Swansea",NA,"SA4 9DB","01792 892354",398,-4.0011916,51.6742407
6702176,"Penyrheol Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Frampton Road","Gorseinon","Swansea",NA,"SA4 4YG","01792 892337",255,-4.050029,51.6752074
6702186,"Pontarddulais Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Upper James Street","Pontarddulais","Swansea",NA,"SA4 8JD","01792 882383",473,-4.0280643,51.7124207
6702189,"Y.G.G. Bryniago",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Lower James Street","Pontarddulais","Swansea",NA,"SA4 8JA","01792 882012",236,-4.032407,51.713427
6702192,"Pontlliw Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Clordir Road","Pontlliw","Pontarddulais",NA,"SA4 9FA","01792 882553",221,-4.010907,51.6932081
6702211,"Tre Uchaf Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Cae Ty Newydd","Loughor","Swansea",NA,"SA4 6QB","01792 893682",232,-4.0602604,51.6659491
6702212,"Y.G.G. Pontybrenin",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Loughor Road","Gorseinon","Swansea",NA,"SA4 6AU","01792 894210",552,-4.0417646,51.662299
6702215,"Craigfelen Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Woodside Crescent","Clydach","Swansea",NA,"SA6 5DP","01792 843278",177,-3.9056135,51.6975767
6702216,"Pennard Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pennard Road","Pennard","Swansea",NA,"SA3 2AD","01792 233343",200,-4.0817665,51.5744025
6702217,"Knelston Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Reynoldston","Gower","Swansea",NA,"SA3 1AR","01792 390071",129,-4.2130504,51.5776728
6702219,"Pen-Y-Fro",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Priors Crescent","Dunvant","Swansea",NA,"SA2 7UF","01792 203728",215,-4.0448891,51.6247709
6702223,"Pontybrenin Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Glyn Rhosyn","Gorseinon","Swansea",NA,"SA4 6HX","01792 891151",363,-4.0437822,51.6651977
6702225,"Talycopa Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Hafdy","Llansamlet","Swansea",NA,"SA7 9RZ","01792 793660",216,-3.8852036,51.6570246
6702226,"Glyncollen Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Dolfain","Ynysforgan","Swansea",NA,"SA6 6QF","01792 791727",224,-3.920149,51.6819181
6702229,"Ysgol Gymraeg Y Login Fach",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Roseland Road","Waunarlwydd","Abertawe",NA,"SA5 4ST","01792 874399",251,-4.0127051,51.6420265
6702231,"Y.G.G. Tirdeunaw",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Ddu","Treboeth","Abertawe",NA,"SA5 7HW","01792 774612",461,-3.9549321,51.6588215
6702232,"Y.G.G. Gellionnen",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Gellionnen Road","Clydach","Swansea",NA,"SA6 5HE","01792 845489",278,-3.8948743,51.7005723
6702233,"Gors Community School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Gors Avenue","Cockett","Swansea",NA,"SA1 6SF","01792 522202",301,-3.9807136,51.632895
6702234,"Sea View Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Creidiol Road","Mayhill","Swansea",NA,"SA1 6TZ","01792 650703",230,-3.9511234,51.6277956
6702235,"Y.G.G. Llwynderw",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","West Cross Lane","West Cross","Swansea",NA,"SA3 5LS","01792 407130",360,-4.0043627,51.5854654
6702236,"Birchgrove Primary",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Nant Bran","Birchgrove","Swansea",NA,"SA7 9LH","01792 814814",464,-3.8764156,51.6681964
6702237,"Dunvant Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Dunvant Road","Dunvant","Swansea",NA,"SA2 7SN","01792 207336",342,-4.0228719,51.622725
6702238,"Gwyrosydd Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Park Hill Terrace","Treboeth","Swansea",NA,"SA5 7DN","01792 797117",458,-3.9486896,51.649222
6702239,"St Thomas Community Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Grenfell Park Road","St Thomas","Swansea",NA,"SA1 8EZ","01792 650052",411,-3.9255273,51.624039
6702240,"Gowerton Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Mount Street","Gowerton","Swansea",NA,"SA4 3GE","01792 872439",422,-4.0453534,51.6512934
6702241,"Pentre’r Graig Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Morriston","Swansea",NA,"SA6 6HY","01792 771831",320,-3.9238961,51.66893
6702242,"Ysgol Gymraeg Tan-y-lan",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Tan-y-lan Terrace","Morriston","Swansea",NA,"SA6 7DU","01792 772800",170,-3.9324121,51.6643584
6702243,"Burlais Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Gerddi Alexander","Cwmbwrla","Swansea",NA,"SA5 8BN","01792 652350",559,-3.9553873,51.6382
6702244,"Clydach Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Sybil Street","Clydach","Swansea",NA,"SA6 5EU","01792 843356",244,-3.8957526,51.6961717
6702245,"Ysgol Gymraeg y Cwm",670,"Swansea","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Jersey Road","Bonymaen","Swansea",NA,"SA1 7DL","01792 650326",131,-3.9147729,51.647966
6702246,"Gorseinon Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","High Street","Gorseinon","Swansea",NA,"SA4 4BN","01792 892739",293,-4.0398736,51.6712688
6702247,"Brynhyfryd Primary School",670,"Swansea","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llangyfelach Road","Brynhyfryd","Swansea",NA,"SA5 9LN","01792 650192",472,-3.9441982,51.6435209
6703303,"St. David's Rc Primary School",670,"Swansea","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","West Cross Avenue","West Cross","Swansea",NA,"SA3 5TS","01792 512212",177,-4.0045889,51.581505
6703305,"St Illtyds Primary",670,"Swansea","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Jersey Road","Bonymaen","Swansea",NA,"SA1 7DG","01792 462104",224,-3.9165761,51.6409829
6703306,"Christchurch Church In Wales",670,"Swansea","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Rodney Street","Swansea",NA,NA,"SA1 3UA","01792 510900",157,-3.9570407,51.6134254
6703308,"St Joseph's R.C. Primary",670,"Swansea","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Pontardawe Road","Clydach","Swansea",NA,"SA6 5NX","01792 842494",237,-3.8807094,51.6975763
6703309,"St Josephs Cathedral Primary School",670,"Swansea","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Caepistyll Street","Greenhill","Swansea",NA,"SA1 2BE","01792 653609",514,-3.944063,51.6313287
6704031,"Cefn Hengoed",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Caldicot Road","Winch Wen","Swansea",NA,"SA1 7HX","01792 773464",732,-3.9043645,51.6446857
6704032,"Olchfa School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Gower Road","Sketty","Swansea",NA,"SA2 7AB","01792 534300",1700,-4.0049899,51.6188864
6704033,"Morriston Comprehensive",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Heol Maes Eglwys","Morriston","Swansea",NA,"SA6 6NH","01792 797745",903,-3.9262734,51.6815489
6704043,"Pentrehafod School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Pentremawr Road","Hafod","Swansea",NA,"SA1 2NN","01792 410400",953,-3.9416485,51.638167
6704044,"Bishop Gore School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","De-La-Beche Road","Sketty","Swansea",NA,"SA2 9AP","01792 411400",1242,-3.987689,51.614861
6704062,"Penyrheol Comprehensive School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Pontarddulais Road","Gorseinon","Swansea",NA,"SA4 4FG","01792 533066",860,-4.0418121,51.6749954
6704063,"Gowerton Comprehensive School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Cecil Road","Gowerton","Swansea",NA,"SA4 3DL","01792 873461",1112,-4.0367004,51.6425237
6704069,"Bishopston Comprehensive",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","The Glebe","Bishopston","Swansea",NA,"SA3 3JP","01792 234121",1102,-4.0485893,51.5844439
6704072,"Pontarddulais Comprehensive School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Caecerrig Road","Pontarddulais","Swansea",NA,"SA4 8PD","01792 884556",782,-4.0348399,51.7177993
6704074,"Ysgol Gyfun Gwyr",670,"Swansea","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Talbot Street","Tregwyr","Abertawe",NA,"SA4 3DD","01792 872403",924,-4.0389384,51.645579
6704075,"Birchgrove",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Birchgrove Road","Birchgrove","Swansea",NA,"SA7 9NB","01792 535400",482,-3.8694756,51.6712281
6704076,"Dylan Thomas Community School",670,"Swansea","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","John Street","Cockett","Swansea",NA,"SA2 0FR","01792 610300",461,-3.9831856,51.6334705
6704078,"Ysgol Gyfun Gymraeg Bryn Tawe",670,"Swansea","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Heol Gywrosydd","Penlan","Swansea",NA,"SA5 7BU","01792 560600",780,-3.9614854,51.6516765
6704600,"Bishop Vaughan School",670,"Swansea","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-19)","Roman Catholic","Mynydd Garnlwyd Road","Morriston","Swansea",NA,"SA6 7QG","01792 772006",1308,-3.9360875,51.6607729
6707000,"Ysgol Pen-y-Bryn",670,"Swansea","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Glasbury Road","Morriston","Swansea",NA,"SA6 7PA","01792 799064",132,-3.9415447,51.6599306
6707008,"Ysgol Crug Glas",670,"Swansea","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Croft Street","Swansea",NA,NA,"SA1 1QA","01792 652388",56,-3.942544,51.6283308
6712100,"Alltwen Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Alltwen Hill","Alltwen","Pontardawe","Swansea","SA8 3AB","01792 863275",234,-3.8456294,51.7160515
6712101,"Blaendulais Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Seven Sisters","Neath",NA,NA,"SA10 9AA","01639 700261",121,-3.7113603,51.7652579
6712106,"Blaengwrach Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Wenallt","Cwmgwrach","Neath",NA,"SA11 5PP","01639 720342",154,-3.6423102,51.7338247
6712110,"Blaenhonddan Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Main Road","Bryncoch","Neath",NA,"SA10 7PE","01639 644366",252,-3.8151132,51.6779513
6712119,"Baglan Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Elmwood Road","Baglan","Port Talbot",NA,"SA12 8TF","01639 813112",274,-3.8079459,51.6183503
6712128,"YGG Cwmllynfell",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Y Bryn","Cwmllynfell","Swansea",NA,"SA9 2FJ","01639 830630",92,-3.8196291,51.797963
6712129,"Creunant Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Crynant","Neath",NA,"SA10 8NS","01639 750224",130,-3.7462243,51.7329551
6712134,"Crymlyn Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Jersey Marine","Neath",NA,"SA10 6JJ","01792 812285",56,-3.8634658,51.629391
6712137,"Cwmnedd Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","New Street","Glynneath","Neath",NA,"SA11 5AA","01639 720220",204,-3.6223213,51.747232
6712138,"Cymer Afan Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Margam Street","Cymmer","Port Talbot",NA,"SA13 3EE","01639 850739",75,-3.6529149,51.6521074
6712140,"Godre'rgraig Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Graig Road","Godre'rgraig","Swansea",NA,"SA9 2NY","01639 843116",156,-3.8091548,51.7477702
6712142,"Eastern Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Incline Row","Taibach","Port Talbot",NA,"SA13 1TT","01639 882819",208,-3.7681795,51.5846308
6712144,"Gnoll Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Wellfield Avenue","Neath",NA,NA,"SA11 1AQ","01639 642938",341,-3.8002382,51.6578232
6712148,"Glyncorrwg Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Bridge Street","Glyncorrwg","Port Talbot",NA,"SA13 3BB","01639 850323",90,-3.626584,51.6794636
6712149,"YGG Gwaun Cae Gurwen",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","New Road","Gwaun Cae Gurwen","Ammanford",NA,"SA18 1UN","01269 822238",179,-3.8739688,51.7951961
6712150,"Catwg Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Main Road","Cadoxton","Neath",NA,"SA10 8BL","01639 642731",214,-3.7970708,51.6739181
6712155,"Maesmarchog Community Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Dyffryn Cellwen","Neath",NA,"SA10 9LB","01639 700228",91,-3.6667066,51.7750783
6712158,"YGG Rhosafan",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Marine Drive","Sandfields","Port Talbot",NA,"SA12 7NN","01639 896338",359,-3.8202177,51.5993373
6712161,"Sandfields Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Lilian Street","Aberavon","Port Talbot",NA,"SA12 6AJ","01639 882355",394,-3.7977035,51.5956199
6712168,"YGG Castell-nedd",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Woodland","Castell-Nedd",NA,NA,"SA11 3AL","01639 637701",405,-3.797567,51.6615363
6712173,"Croeserw Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Bryn Siriol","Cymmer","Port Talbot",NA,"SA13 3PL","01639 850265",163,-3.6351033,51.6445837
6712175,"Tywyn Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Channel View","Sandfields","Port Talbot",NA,"SA12 6JF","01639 790883",441,-3.8086965,51.5904881
6712178,"Llangiwg Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","New Road","Ynysmeudwy","Pontardawe","Swansea","SA8 4PJ","01792 863274",136,-3.839597,51.7286248
6712181,"Tonnau Primary Community School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Tonna","Neath",NA,"SA11 3EJ","01639 637062",177,-3.7779918,51.673873
6712187,"Ynysfach Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Resolven","Neath",NA,NA,"SA11 4AB","01639 710238",183,-3.693895,51.708705
6712191,"Blaenbaglan Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Maes-Ty-Canol","Baglan","Port Talbot",NA,"SA12 8YF","01639 769775",296,-3.7946545,51.6212516
6712200,"Rhos Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Neath Road","Rhos","Swansea",NA,"SA8 3EB","01792 862177",156,-3.82879,51.7137958
6712202,"YGG Blaendulais",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Blaendulais","Castell Nedd",NA,NA,"SA10 9AA","01639 700342",99,-3.7113603,51.7652579
6712203,"Rhydyfro Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Waun Penlan","Pontardawe","Swansea",NA,"SA8 3BB","01792 862200",154,-3.8601638,51.733233
6712205,"YGG Cwm Nedd",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","New Street","Glynneath","Neath",NA,"SA11 5AA","01639 720530",149,-3.6223213,51.747232
6712206,"Tairgwaith Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llwyncelyn Road","Tairgwaith","Ammanford",NA,"SA18 1UU","01269 823258",110,-3.8612138,51.7896682
6712208,"YGG Trebannws",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Swansea Road","Trebannws","Swansea",NA,"SA8 4BL","01792 864004",104,-3.8629684,51.7103685
6712218,"YGG Pontardawe",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Alltacham Drive","Pontardawe","Abertawe",NA,"SA8 4JR","01792 862136",356,-3.8524096,51.7247403
6712221,"Waunceirch Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Dwr Y Felin Road","Waunceirch","Neath",NA,"SA10 7RW","01639 636084",210,-3.818697,51.6707445
6712230,"Cilffriw Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Main Road","Cilfrew","Neath",NA,"SA10 8LF","01639 630816",250,-3.7812573,51.680364
6712231,"YGG Tyle'r Ynn",671,"Neath Port Talbot","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llansawel Crescent","Briton Ferry","Castell Nedd",NA,"SA11 2UN","01639 812229",227,-3.8215083,51.6434524
6712232,"Coed Hirwaun Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Cwrt y Carw","Margam","Port Talbot",NA,"SA13 2TS","01656 747830",186,-3.7051362,51.5503367
6712233,"Coedffranc Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Stanley Road","Skewen","Neath",NA,"SA10 6LP","01792 813504",392,-3.8438596,51.6600321
6712234,"Pen Afan Primary",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Western Terrace","Blaengwynfi","Port Talbot",NA,"SA13 3YE","01639 850316",127,-3.5766234,51.6528043
6712235,"Awel Y Mor Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ffordd yr Ysgol","Sandfields","Port Talbot",NA,"SA12 6TP","01639 875100",329,-3.8109976,51.597166
6712236,"Crynallt Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Afan Valley Road","Cimla","Neath",NA,"SA11 3AZ","01639 635256",484,-3.784848,51.6527148
6712237,"Cwmafan Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ty'r Owen Row","Cwmavon","Port Talbot",NA,"SA12 9BB","01639 896119",421,-3.7629654,51.6141975
6712238,"Central Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Theodore Road","Port Talbot",NA,NA,"SA13 1SF","01639 882866",475,-3.7772624,51.5910086
6712239,"Abbey Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","New Road","Neath Abbey","Neath",NA,"SA10 7ND","01792 812227",405,-3.8349376,51.6616424
6712240,"Melin Primary School",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","MILE END ROW","Melincryddan","Neath",NA,"SA11 2ED","01639 645414",250,-3.8141084,51.6517693
6712241,"Ysgol Carreg Hir",671,"Neath Port Talbot","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Old Road","Briton Ferry",NA,"Neath","SA11 2ET",NA,427,-3.8135101,51.6430528
6713309,"St Joseph's Catholic Primary School (Neath)",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Cook Rees Avenue","Neath",NA,NA,"SA11 1UR","01639 635099",165,-3.7989097,51.6539098
6713310,"St Josephs Catholic Infant School",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Nursery & Infants","Roman Catholic","Water Street","Aberavon","Port Talbot",NA,"SA12 6LF","01639 882579",120,-3.7894129,51.5944053
6713311,"Bryncoch CIW Primary School",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Furzeland Drive","Bryncoch","Neath",NA,"SA10 7UG","01639 643359",184,-3.8179079,51.6852817
6713313,"Alderman Davies CIW Primary School",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","St David's Street","Neath",NA,NA,"SA11 3AA","01639 769772",432,-3.8024031,51.6620395
6713314,"St Therese's Catholic Primary School",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Southdown Road","Sandfields","Port Talbot",NA,"SA12 7HL","01639 882797",229,-3.8161794,51.5988096
6713316,"St Josephs Catholic Junior School",671,"Neath Port Talbot","Primary","Voluntary aided","EM","English medium","Juniors","Roman Catholic","Nobel Avenue","Port Talbot",NA,NA,"SA12 6YN","01639 769743",138,-3.7958273,51.599304
6714047,"Cymer Afan Comprehensive School",671,"Neath Port Talbot","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","School Road","Cymmer","Port Talbot",NA,"SA13 3EL","01639 850237",229,-3.6478377,51.6496279
6714064,"Cefn Saeson Comprehensive School",671,"Neath Port Talbot","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Afan Valley Road","Cimla","Neath",NA,"SA11 3TA","01639 791300",737,-3.7748741,51.6508926
6714065,"Cwmtawe Community School",671,"Neath Port Talbot","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Ffordd Parc Ynysderw","Pontardawe","Swansea",NA,"SA8 4EG","01792 863200",1271,-3.8502645,51.7178799
6714066,"Llangatwg Community School",671,"Neath Port Talbot","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Main Road","Cadoxton","Neath",NA,"SA10 8DB","01639 634700",702,-3.7867074,51.679529
6714067,"Dwr Y Felin Comprehensive School",671,"Neath Port Talbot","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Dwr Y Felin Road","Neath",NA,NA,"SA10 7RE","01639 635161",1117,-3.812702,51.6661575
6714601,"St Joseph's RC School and 6th Form Centre",671,"Neath Port Talbot","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-19)","Roman Catholic","Newton Avenue","Aberavon","Port Talbot",NA,"SA12 6EY","01639 884305",812,-3.7949524,51.6001558
6715500,"Ysgol Bae Baglan",671,"Neath Port Talbot","Middle","Community","EM","English medium","Middle (ages 3-16)","---","SEAWAY PARADE",NA,NA,"PORT TALBOT","SA12 7BL","01639 508540",1506,-3.8222778,51.61146
6715501,"Ysgol Gymraeg Ystalyfera Bro Dur",671,"Neath Port Talbot","Middle","Community","WM","Welsh medium","Middle (ages 3-19)","---","Glan Yr Afon","Ystalyfera","Swansea",NA,"SA9 2DY","01639 842129",1323,-3.7853847,51.7633956
6715502,"Ysgol Cwm Brombil",671,"Neath Port Talbot","Middle","Community","EM","English medium","Middle (ages 3-16)","---","Bertha Road",NA,"Margam","Port Talbot","SA13 2AN","01639 760110",984,-3.7508184,51.5725904
6717006,"Ysgol Maes Y Coed",671,"Neath Port Talbot","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Heol Hendre","Bryncoch","Neath",NA,"SA10 7TY","01639 643648",100,-3.8212159,51.6876482
6717008,"Ysgol Hendrefelin",671,"Neath Port Talbot","Special","Community","NA","Not applicable","Special (without post-16 provision)","---","Heol Hendre","Bryncoch","Neath",NA,"SA10 7TY","01639 642786",144,-3.8212159,51.6876482
6722046,"Abercerdin Primary School",672,"Bridgend","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Kenry Street","Evanstown","Gilfach Goch","Bridgend","CF39 8RS","01656 815535",207,-3.478355,51.5952943
6722051,"Betws Primary School",672,"Bridgend","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Bradford","Bettws","Bridgend",NA,"CF32 8TB","01656 815650",238,-3.5879839,51.5676333
6722055,"Blaengarw Primary",672,"Bridgend","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Station Street","Blaengarw","Pontycymer","Bridgend","CF32 8BA","01656 815550",183,-3.5874106,51.623722
